prompt_id,user_id,model_id,prompt_text,category,created_at,prompt_length,success_flag,session_id
1,35,4,Trial receive region however dream focus executive letter possible final growth third letter sort reveal seven floor data.,Data Analysis,2026-02-22 09:21:09,291,1,4891
2,194,4,Animal ten scientist administration network once result far cultural discover now early nearly want front shake.,Research,2025-09-06 20:34:41,437,1,4402
3,141,4,Leave run goal cause national contain threat wrong whatever model stuff avoid stand any according case piece attack.,Marketing,2025-11-14 02:12:44,400,1,2843
4,67,2,Despite lay art point value tree process administration mother.,Data Analysis,2025-07-05 23:37:55,161,1,3567
5,62,3,Admit reveal movie expert maybe recently issue vote conference.,Content Writing,2025-10-15 01:53:11,59,1,1960
6,70,3,Modern drive people education great some bad where learn during.,SQL,2026-04-29 20:46:08,477,0,1566
7,39,2,Feel stock ball yard practice all if help live PM reflect bar suddenly.,Content Writing,2026-02-03 02:38:49,375,0,3893
8,55,1,Not teach believe month amount deep test thought little another avoid understand tonight nor allow.,Content Writing,2026-01-13 18:54:17,228,1,3222
9,120,4,Administration debate certain star start up federal nor note support quality music himself science so.,Coding,2026-05-04 00:39:48,125,1,2595
10,198,5,May window approach join stuff future shoulder western however similar.,Data Analysis,2026-01-31 00:46:24,30,1,2953
11,2,3,Situation late direction need heart control one herself sign far east available environmental here.,SQL,2025-05-19 20:03:53,405,1,4495
12,108,5,Science first blood accept final growth especially car cost large never.,Data Analysis,2026-03-08 18:19:14,396,0,2999
13,57,3,Ago government behavior our foot history factor hold be top.,Content Writing,2025-10-13 19:10:51,268,0,2592
14,87,4,Occur college herself catch feeling manage as itself inside machine baby edge east.,Data Analysis,2026-04-24 21:04:46,104,1,4766
15,33,5,Order crime blood fight we forward per sound forget friend spring teacher wind carry fly water cut fire.,Research,2026-01-06 01:40:11,33,1,3424
16,145,1,Fact reason make office drug heavy staff hotel box nor or nation race nearly well.,Coding,2025-10-09 23:47:43,349,1,1555
