rating_id,response_id,rating_score,feedback_comment,rated_at
1,1,3,Very accurate,2025-06-05 22:17:13
2,2,2,Poor formatting,2026-01-15 18:46:59
3,3,3,Excellent output,2025-08-11 23:16:27
4,4,1,Very accurate,2025-07-08 20:00:23
5,5,1,Fast and useful,2025-10-16 04:03:08
6,6,3,Needs improvement,2026-04-03 01:39:12
7,7,4,Too generic,2025-09-12 01:54:56
8,8,3,Needs improvement,2025-12-20 04:01:23
9,9,5,Excellent output,2025-11-24 12:00:40
10,10,4,Very accurate,2025-08-25 00:36:52
11,11,5,Needs improvement,2025-09-15 22:21:31
12,12,5,Needs improvement,2025-05-12 06:44:01
13,13,1,Too generic,2025-07-22 02:06:51
14,14,3,Fast and useful,2025-07-25 09:52:12
15,15,5,Poor formatting,2026-01-28 22:03:00
16,16,1,Too generic,2025-11-15 03:30:49
17,17,4,Fast and useful,2025-12-31 15:53:48
18,18,4,Very accurate,2025-05-27 10:57:42
19,19,3,Needs improvement,2026-02-10 20:01:38
20,20,2,Excellent output,2025-07-14 12:42:51
21,21,4,Helpful response,2026-01-22 16:40:55
22,22,1,Very accurate,2026-01-21 05:03:30
23,23,4,Excellent output,2025-12-27 19:41:12
24,24,1,Helpful response,2025-08-24 07:49:16
25,25,2,Too generic,2025-05-20 07:37:39
26,26,3,Too generic,2026-03-27 16:21:21
27,27,4,Needs improvement,2025-08-03 16:17:32
28,28,5,Excellent output,2025-11-14 20:21:28
29,29,3,Excellent output,2025-09-25 14:48:49
30,30,5,Excellent output,2025-08-01 06:26:12
31,31,4,Very accurate,2025-09-19 07:54:14
32,32,2,Poor formatting,2026-01-09 03:22:45
33,33,4,Excellent output,2026-01-30 17:10:25
34,34,5,Too generic,2025-07-24 04:49:31
35,35,1,Very accurate,2026-01-22 02:15:01
36,36,1,Excellent output,2026-02-20 14:21:18
37,37,4,Excellent output,2025-06-19 03:21:32
38,38,4,Fast and useful,2026-01-19 16:58:52
39,39,3,Very accurate,2025-07-25 08:10:06
40,40,3,Poor formatting,2025-07-07 15:26:18
41,41,3,Helpful response,2026-02-08 06:12:58
42,42,1,Too generic,2025-08-13 18:48:13
43,43,3,Helpful response,2026-02-19 13:52:22
44,44,5,Excellent output,2025-09-18 12:27:31
