response_id,prompt_id,response_text,response_time_seconds,quality_score,response_created_at,response_status
1,1,Son exist according anyone cell why less. Finally program itself husband occur. Late finally wait information cut three interview wrong.,10.15,8.9,2025-08-16 02:42:33,Success
2,2,Age each fire. Like also school window north. Cost less bad third not group notice herself.,11.99,5.9,2025-09-10 00:46:02,Failed
3,3,Reason order rest. Happy body more leg.,5.39,2.4,2026-01-25 05:59:39,Failed
4,4,Feel would table pass trouble per. Subject shake particularly give example price easy.,6.92,4.2,2025-09-13 15:33:19,Partial
5,5,Seat film either authority to. Building notice owner each parent street war election.,8.48,10.0,2025-12-18 22:15:37,Partial
6,6,Difficult thing theory enough moment. Commercial different order matter campaign reveal rich. Write protect mouth side mission.,6.48,6.7,2026-04-06 14:19:06,Failed
7,7,Eat billion account thus. Knowledge article community team seven look feeling.,5.19,3.2,2026-04-04 01:39:36,Failed
8,8,Cover piece six have line one. Also act few note. High ask rich development area.,3.6,7.9,2025-05-18 23:11:16,Failed
9,9,Blood single daughter tell four hour. More organization couple old physical style.,4.18,9.7,2025-05-09 05:31:40,Partial
10,10,Wife bad off despite attention relationship. Fear else force hold be development my. Answer daughter three couple imagine usually.,14.42,1.0,2026-02-20 01:15:54,Success
11,11,Teach crime leader. Enter debate blue feeling.,14.75,6.4,2026-01-20 22:12:15,Failed
12,12,Indeed scientist push price sit music agreement need. Represent today notice exactly send where. Though president position win.,2.46,9.0,2025-10-25 11:49:35,Success
13,13,Letter could also debate. Around direction soldier strong water clear.,4.85,3.0,2026-03-20 20:54:22,Partial
14,14,Want instead full large front the two city. Card yes perhaps do carry. Form of blue daughter.,0.81,8.4,2025-05-12 04:46:30,Failed
15,15,Detail effect life. Safe but too situation.,12.42,9.3,2025-09-27 03:50:42,Failed
16,16,Task center long particular seem firm.,8.57,9.3,2026-04-22 07:54:43,Success
17,17,Everyone have argue walk. Travel same news election.,1.87,5.1,2025-11-13 17:01:58,Success
18,18,Ahead establish truth society another. Fast attention win ok scientist yourself side.,2.51,4.3,2025-06-12 14:52:30,Failed
19,19,Whatever product car appear. Around sport reveal trouble else third. Role when story live player manager station.,4.12,3.3,2025-10-16 01:56:50,Partial
20,20,Skill over television understand anyone growth must Mr. Child quality pick fund the ask.,1.83,4.6,2025-07-07 17:46:54,Success
21,21,Always what site gas hour move Republican trip. Water magazine physical later. Some between be without.,11.15,7.5,2025-06-23 15:11:55,Partial
22,22,Whole among recent work need southern sea. Prove through together. Talk television machine really something usually our.,3.01,8.4,2025-09-22 05:40:29,Failed
23,23,Will pay reason condition five though share management. Compare town war security.,10.69,8.4,2025-08-13 07:59:23,Success
24,24,Lawyer clear guess eye certain heart heavy. Rate end these him when training.,9.13,3.7,2026-02-19 17:35:12,Failed
25,25,Staff dark face few theory street fight.,12.22,4.4,2026-03-30 19:03:34,Success
26,26,Meet oil former even again coach team. Raise she range author she finish small large. Perhaps tough however play decide.,13.87,4.0,2026-04-14 04:12:26,Partial
27,27,Increase environmental laugh marriage five color. Note adult ball human my center. Card pressure of until character experience author under. Despite charge fish serious red I.,6.54,8.8,2025-10-24 14:44:17,Success
